rate D error (σ) 
0.2, 0.07084455459659156, 0.009490977334947165
0.25, 0.06965840654808478, 0.009303961482367656
0.3, 0.06231817933973161, 0.007918514594879732
0.35, 0.054060348384959066, 0.006845621838508044
0.4, 0.05016392241999969, 0.006504805607380216
0.45, 0.040309800159297304, 0.004746885709946932
0.5, 0.037435455357724606, 0.004765141721491208
0.55, 0.031049483313451375, 0.0038360206537345195
rate D error (σ) 
0.2, 0.07053313098457144, 0.009240047576656111
0.25, 0.06402568767466944, 0.008037415602339757
0.3, 0.060131041015601926, 0.007606484809360251
0.35, 0.052934256650082, 0.006431301891578685
0.4, 0.05097553642910364, 0.006627801303002625
0.45, 0.043234724698265115, 0.005419669275833238
0.5, 0.036498063334602364, 0.004421639064385041
0.55, 0.03208240896883327, 0.004128072453230406
